stemmed_and_stopword_translated_text,compound
expensive ukt tapera debt broke silent majority ormas mes upright law oon silent majorhy diem majority ato miu dukn,-0.6486
goodjkkandrewstjanbytw nudduh supportprebowo critique ukt h pj kracc relief selectingtheprewun,0.4767
goodjkkandrewstjanstickcontext truthso tomake commandthatduetonotknowwise pointstampukukt buttainthe villain commandhiler ademintimes,-0.5574
naisan motherkrolpolit verypolitic tapera ukt wapres pilkada returnto listenyes comeonthe spiritof protest,-0.25
carienyuu kann demo student yesterday inoblos enjoy sono ukt lu naek gausa protest,0.296
sulthoni ukt,0.0
mythicalforestcawecawe hispoliticaldistribution unrunin recordracorruption worklevelsofinfluencersgreat party dhrageather nurunin saggression mager,0.4019
cwpoliticsivotehim shim visionofa careful mission relievemyhigh ortu pi en ice,0.1531
cnni indonesia salary cut tapera inflation must nombok clu ukt ukmko transport alhamdulillah breath attached,-0.2732
last day marshoda shut complaining salary cut country ecosystem deer country post photos backsound numbers,-0.4404
originalsareexhausted extreme god fast fast semesterof collegesput moneyoutmyparentstonot payin college,0.2732
ask sure college yes,0.6124
awokyogeelthe uktcannot paywith lunch,0.0
carienyuu gappa utt expensive pay etc joget ok gas ok gas,0.4588
select p p k licidud hooks ukt times amount students gone college tapera tube mounts home salary cuts,-0.296
youngsteo mwu add ukt money,0.0
uns cancel ukt wvps anyy,-0.25
carienyuu yahgaapa ukpat free lunch jogethouu okgas ok gas,0.6705
collegemenfess pay ukt slesai remember age maximum locker nder ding slaughter gas,-0.1027
tev n pe el gilir like gin ukt diem bae let young people buy house young man success miscarry social mobility powerful ukt diem die aki nini,0.6249
sad pay,-0.5423
sulthoni ukt gasoline appn fence dpr,0.0
falseukowicommand twtw dho vinivini rhanrizkyridho nlhiok,0.0
carienyuu stupid people ask dance eat tukukt,-0.5267
session practice team debut diaspora country bamboo curtain sty please enter play strong diaspora economic cooperation toongkok project tapera subsidi ukt ukkl wpyv,0.7906
hotchocov carienyuuu againsttheresponse president stillresponsives,0.0
